This spectrum was collected on:	2017-09-29	10:42:50
7.133e-07	591.3502741	270.374179117
7.134e-07	592.042548833	276.754755366
7.135e-07	603.848915272	340.512746383
7.136e-07	534.661827628	349.880023515
7.137e-07	581.066547206	275.656794387
7.138e-07	619.926864993	318.061884058
7.139e-07	594.714997987	287.494039944
7.14e-07	587.895995	340.54690995
7.141e-07	534.31374017	353.402742343
7.142e-07	610.429408324	359.761605321
7.143e-07	612.121348186	348.24933879
7.144e-07	594.639131796	359.552602429
7.145e-07	630.255913029	280.366432429
7.146e-07	624.08789498	294.161763785
7.147e-07	630.019442812	304.794943661
7.148e-07	565.151061186	305.274454709
7.149e-07	559.226668883	273.799275181
7.15e-07	607.81996228	350.948043703
7.151e-07	616.620669495	363.318490605
7.152e-07	647.11930315	355.260144757
7.153e-07	626.433454415	347.498097859
7.154e-07	659.966147737	330.598852508
7.155e-07	661.939245845	325.809226325
7.156e-07	591.495316117	374.93112829
7.157e-07	613.354982518	322.142759533
7.158e-07	668.082865342	355.597441095
7.159e-07	630.108339636	365.80281638
7.16e-07	646.297208405	343.664739408
7.161e-07	622.214966925	366.036439218
7.162e-07	620.766604608	368.052675421
7.163e-07	663.210879861	369.509151255
7.164e-07	642.636389209	331.890951709
7.165e-07	641.319058269	304.524497875
7.166e-07	659.408828798	334.648052501
7.167e-07	639.550029892	377.166373061
7.168e-07	658.194199327	387.021254321
7.169e-07	665.900570619	375.684294986
7.17e-07	638.849107131	354.575602439
7.171e-07	693.49790365	365.347310028
7.172e-07	652.375218652	316.282747342
7.173e-07	714.031088019	363.42099168
7.174e-07	716.514382588	386.885076414
7.175e-07	671.586915911	391.62972834
7.176e-07	665.38502532	323.217681308
7.177e-07	716.736490407	386.703447695
7.178e-07	686.728953358	335.482798073
7.179e-07	720.407342323	414.815419422
7.18e-07	679.161245714	399.612249743
7.181e-07	685.919211294	420.302706292
7.182e-07	694.380418019	380.378181306
7.183e-07	682.481980819	420.178204942
7.184e-07	723.238764756	405.165056256
7.185e-07	767.54552911	381.866295033
7.186e-07	758.380830382	427.507156244
7.187e-07	744.345058479	359.287679683
7.188e-07	698.173793186	341.98499634
7.189e-07	755.353397213	412.512311786
7.19e-07	734.066352609	373.812915779
7.191e-07	746.323795719	403.461631795
7.192e-07	733.889174841	411.056628387
7.193e-07	722.972493649	359.376845795
7.194e-07	726.306115946	419.408895041
7.195e-07	798.488933148	368.427875328
7.196e-07	760.659733522	407.582223162
7.197e-07	756.200730742	372.038126921
7.198e-07	752.140334749	404.854403558
7.199e-07	724.296484785	459.307916552
7.2e-07	803.848801957	449.04410266
7.201e-07	777.53814196	440.341447963
7.202e-07	771.064343238	384.005207648
7.203e-07	740.007676205	374.796606954
7.204e-07	733.429464934	395.955173315
7.205e-07	747.944143128	389.181506078
7.206e-07	781.099513437	403.781273651
7.207e-07	792.195702858	418.842352486
7.208e-07	798.744299304	420.741094034
7.209e-07	792.835651642	449.255803571
7.21e-07	804.757739576	394.351768504
7.211e-07	800.963049781	406.632195333
7.212e-07	860.779684933	428.567131507
7.213e-07	789.391492435	393.886402343
7.214e-07	841.444003026	490.112518618
7.215e-07	819.91850144	460.015689317
7.216e-07	871.234652195	445.911190171
7.217e-07	832.281390564	419.389458853
7.218e-07	806.532780075	403.995938761
7.219e-07	809.698114182	450.540068966
7.22e-07	797.119654092	435.530868722
7.221e-07	824.455926389	458.696553793
7.222e-07	873.462089427	500.579810332
7.223e-07	846.173740103	444.102596274
7.224e-07	830.805015568	418.782255128
7.225e-07	868.220228824	430.050193874
7.226e-07	814.150946909	442.650964962
7.227e-07	849.769595176	499.285712753
7.228e-07	899.23439174	474.196668784
7.229e-07	889.558558428	434.099587607
7.23e-07	895.867695074	507.578989403
7.231e-07	918.236097635	496.86555198
7.232e-07	924.238936996	451.517106185
7.233e-07	875.680446124	446.932379915
7.234e-07	857.470941203	483.232840751
7.235e-07	866.653181353	492.755004895
7.236e-07	927.47162402	504.944750256
7.237e-07	950.245909002	500.023086714
7.238e-07	941.414438129	508.62285528
7.239e-07	930.754397555	495.920110716
7.24e-07	923.783925979	534.604693879
7.241e-07	962.547361674	513.532796873
7.242e-07	951.39991238	530.333571527
7.243e-07	893.647649916	461.778792491
7.244e-07	912.703690828	479.897492737
7.245e-07	925.720632237	560.207134125
7.246e-07	958.687994795	472.027337258
7.247e-07	970.328564347	523.074538622
7.248e-07	967.452151023	565.11844868
7.249e-07	998.057423051	518.162702547
7.25e-07	949.94080912	553.341778065
7.251e-07	959.4950643	535.469540307
7.252e-07	933.668031675	487.287298859
7.253e-07	985.670240502	584.438972662
7.254e-07	941.161184336	548.962996837
7.255e-07	1002.85368464	515.402720283
7.256e-07	950.753152761	535.498929465
7.257e-07	977.825975922	587.440759193
7.258e-07	995.240591573	547.843387521
7.259e-07	986.09149089	534.060193074
7.26e-07	950.919043682	542.702312598
7.261e-07	974.468248526	565.90733002
7.262e-07	1031.31582744	519.249304223
7.263e-07	1047.25013031	526.412981383
7.264e-07	1058.38029637	580.0716871
7.265e-07	975.564711241	525.716761617
7.266e-07	1053.83582981	591.889020488
7.267e-07	1059.86891275	556.522289245
7.268e-07	1053.20720185	556.002731945
7.269e-07	1073.43916672	604.586923765
7.27e-07	1056.0971814	621.669902432
7.271e-07	1089.72189367	599.734395677
7.272e-07	1068.51911295	616.152643525
7.273e-07	1015.12364443	552.689200075
7.274e-07	1052.27981448	561.448810135
7.275e-07	1067.39500096	563.654014642
7.276e-07	1048.43358406	611.852873443
7.277e-07	1049.05348172	568.126266822
7.278e-07	1039.8507128	630.324417341
7.279e-07	1038.69705622	649.434282815
7.28e-07	1046.36897727	587.79533123
7.281e-07	1080.92985709	596.702996973
7.282e-07	1087.92399021	575.239807266
7.283e-07	1146.32602369	662.221825589
7.284e-07	1065.35819128	650.815857101
7.285e-07	1151.64866954	574.298485236
7.286e-07	1160.71001368	631.978194747
7.287e-07	1093.63578862	590.0935802
7.288e-07	1083.31801626	673.125401874
7.289e-07	1093.95242211	651.707416623
7.29e-07	1110.63223078	594.922510274
7.291e-07	1087.37535251	648.354126214
7.292e-07	1111.75053052	670.111205129
7.293e-07	1141.19670949	597.02798941
7.294e-07	1133.93280652	685.265264964
7.295e-07	1186.06578586	692.586621458
7.296e-07	1165.97454885	651.641152004
7.297e-07	1176.6817244	614.832580959
7.298e-07	1216.77829678	699.404532556
7.299e-07	1170.79148432	676.488405067
7.3e-07	1147.32117005	632.557669287
7.301e-07	1179.40674095	666.547905575
7.302e-07	1162.20798124	709.146855788
7.303e-07	1140.96589776	657.277232218
7.304e-07	1186.78390133	648.395606807
7.305e-07	1172.3594312	652.279249986
7.306e-07	1162.62930775	722.24545393
7.307e-07	1170.96997627	638.505368134
7.308e-07	1192.57162291	680.871546794
7.309e-07	1258.95549023	694.833500171
7.31e-07	1222.51757615	658.423991468
7.311e-07	1252.48726775	691.578807004
7.312e-07	1253.84176376	671.364652125
7.313e-07	1276.35814001	732.435965946
7.314e-07	1264.25620331	672.836831632
7.315e-07	1206.60785205	668.214031978
7.316e-07	1233.09507875	755.00324733
7.317e-07	1305.9032506	683.244795525
7.318e-07	1286.77118753	687.16564579
7.319e-07	1297.61474106	702.178446646
7.32e-07	1251.28928609	693.205588718
7.321e-07	1235.82179132	682.929504726
7.322e-07	1239.42130869	692.63043693
7.323e-07	1266.43556595	767.12510362
7.324e-07	1266.15657746	718.048610918
7.325e-07	1261.92298782	773.737370471
7.326e-07	1294.45522113	743.925395052
7.327e-07	1340.2942224	796.931171342
7.328e-07	1312.56542529	800.450876217
7.329e-07	1288.51571956	801.593198408
7.33e-07	1331.49453206	726.286405885
7.331e-07	1317.08549942	746.386939635
7.332e-07	1339.27190611	737.852449292
7.333e-07	1301.11700787	753.739110204
7.334e-07	1377.69623528	765.399194028
7.335e-07	1310.83486306	779.460219368
7.336e-07	1326.10592169	737.271228203
7.337e-07	1372.13778203	736.399401307
7.338e-07	1326.60342618	745.735436513
7.339e-07	1341.19278488	758.990396782
7.34e-07	1409.75673811	824.740094966
7.341e-07	1418.4135604	838.393890875
7.342e-07	1362.46126268	776.388901639
7.343e-07	1385.53489423	774.23072863
7.344e-07	1346.18211396	833.895374441
7.345e-07	1381.35092691	840.500755935
7.346e-07	1412.79348812	860.978035651
7.347e-07	1390.61117139	826.676634649
7.348e-07	1446.53538318	856.865730241
7.349e-07	1373.18008306	802.312623793
7.35e-07	1422.68452058	779.192841382
7.351e-07	1439.5375475	834.440979138
7.352e-07	1450.76168736	804.184981596
7.353e-07	1483.44592193	862.404737591
7.354e-07	1406.20770166	812.507992275
7.355e-07	1425.35891408	853.271186785
7.356e-07	1438.99925107	822.993474616
7.357e-07	1479.57207337	804.388228193
7.358e-07	1472.89094457	844.9090231
7.359e-07	1465.20564336	860.184192247
7.36e-07	1445.79392979	880.738825117
7.361e-07	1510.20719672	869.393952505
7.362e-07	1455.26502879	842.813248932
7.363e-07	1478.14236995	886.210519879
7.364e-07	1538.35021292	880.78658597
7.365e-07	1504.29351938	901.665904387
7.366e-07	1488.05684174	864.755842097
7.367e-07	1520.08939423	850.889452198
7.368e-07	1529.76633004	911.547397475
7.369e-07	1500.34439024	940.845028388
7.37e-07	1499.3023465	920.304830865
7.371e-07	1560.19130578	920.521148411
7.372e-07	1505.40322471	955.136340756
7.373e-07	1505.33617087	957.739037649
7.374e-07	1531.95952563	877.421967564
7.375e-07	1527.82002674	960.649566854
7.376e-07	1540.23597317	879.17005612
7.377e-07	1529.16420224	881.656404362
7.378e-07	1523.52089009	939.566198905
7.379e-07	1615.95986301	962.77866817
7.38e-07	1571.39084444	924.899094422
7.381e-07	1592.67766356	967.659336257
7.382e-07	1583.70599479	977.915438615
7.383e-07	1613.22706975	925.81336605
7.384e-07	1562.15670309	999.004510471
7.385e-07	1634.4752464	963.370840708
7.386e-07	1587.73700163	960.044571388
7.387e-07	1592.36927488	1005.19214055
7.388e-07	1648.13124011	984.433823757
7.389e-07	1664.50566634	999.826139695
7.39e-07	1667.65014214	984.479288562
7.391e-07	1677.43113464	943.681496445
7.392e-07	1641.88182504	1016.17522237
7.393e-07	1637.33140793	980.092519842
7.394e-07	1666.65609335	1009.36831131
7.395e-07	1618.64503272	1003.57485694
7.396e-07	1711.45376252	983.635027111
7.397e-07	1666.8380672	989.615794554
7.398e-07	1663.35880197	1050.88115716
7.399e-07	1717.13200127	1036.0901094
7.4e-07	1721.96084698	1012.09470934
7.401e-07	1725.88848829	1046.65089286
7.402e-07	1704.74878795	1061.59743885
7.403e-07	1725.66335868	1073.52517657
7.404e-07	1673.73382022	1052.1630738
7.405e-07	1709.81982207	996.58204324
7.406e-07	1729.23911477	992.282861154
7.407e-07	1691.40971583	1081.44069837
7.408e-07	1726.44305168	1004.55868609
7.409e-07	1761.23175364	1040.07351955
7.41e-07	1720.58785722	1018.11732928
7.411e-07	1752.57556888	1052.75775388
7.412e-07	1810.64133351	1024.68764087
7.413e-07	1803.73802174	1092.52555479
7.414e-07	1748.98268212	1053.02633523
7.415e-07	1822.23452051	1038.8234279
7.416e-07	1824.63523996	1100.00401606
7.417e-07	1830.69696204	1123.00974073
7.418e-07	1799.7775335	1066.13439819
7.419e-07	1819.79613226	1093.8719012
7.42e-07	1780.90087733	1049.31859616
7.421e-07	1813.22569596	1138.77060936
7.422e-07	1798.74916433	1122.76382688
7.423e-07	1821.80488466	1118.31594965
7.424e-07	1804.20226107	1084.53381975
7.425e-07	1790.64172568	1125.04330144
7.426e-07	1836.62820531	1130.33757236
7.427e-07	1892.18419903	1100.37258039
7.428e-07	1841.10172791	1153.06599576
7.429e-07	1840.78292183	1132.55635024
7.43e-07	1862.01186203	1143.3067949
7.431e-07	1827.48838344	1124.33380303
7.432e-07	1833.79413961	1122.36620768
7.433e-07	1837.40838808	1166.79134513
7.434e-07	1893.41995674	1128.19456106
7.435e-07	1848.90642048	1127.692733
7.436e-07	1936.84899749	1199.19892627
7.437e-07	1893.19416234	1179.25360845
7.438e-07	1927.27040421	1188.84865141
7.439e-07	1965.10097137	1138.33406682
7.44e-07	1882.67389172	1216.1053433
7.441e-07	1902.79568538	1206.87030816
7.442e-07	1967.01409013	1157.72326538
7.443e-07	1901.97209623	1223.14015065
7.444e-07	1944.52271298	1177.83124338
7.445e-07	1970.17759937	1185.70975842
7.446e-07	2006.91334283	1207.50272032
7.447e-07	1967.43840729	1171.34129022
7.448e-07	1935.99374421	1180.55818954
7.449e-07	1932.85938369	1258.05607426
7.45e-07	1932.07200026	1271.18863097
7.451e-07	1993.41668024	1260.48746687
7.452e-07	2031.03175216	1286.108281
7.453e-07	1996.15291822	1211.48184868
7.454e-07	2035.81551168	1253.53507621
7.455e-07	2037.23315781	1283.11757522
7.456e-07	1987.65612286	1242.18775357
7.457e-07	2042.45920527	1309.88303601
7.458e-07	2030.41696671	1217.38893028
7.459e-07	2050.65721779	1221.01374867
7.46e-07	2057.29282012	1261.74197778
7.461e-07	2031.49790019	1324.83960614
7.462e-07	2021.66975414	1263.36810042
7.463e-07	2018.09179492	1319.23402184
7.464e-07	2049.51979629	1264.6604251
7.465e-07	2101.84248892	1318.17090322
7.466e-07	2095.94633524	1310.52030776
7.467e-07	2050.27222377	1292.95030122
7.468e-07	2066.44460697	1265.22550752
7.469e-07	2104.12138657	1333.31418748
7.47e-07	2078.74922337	1288.06690307
7.471e-07	2137.41218329	1359.64908424
7.472e-07	2152.42753713	1294.52836409
7.473e-07	2159.21827393	1336.3883828
7.474e-07	2143.19427975	1310.17487439
7.475e-07	2150.38424091	1308.67994994
7.476e-07	2185.89948949	1355.58005254
7.477e-07	2173.00117387	1372.65299376
7.478e-07	2122.63699406	1367.99362253
7.479e-07	2193.15887432	1387.44571553
7.48e-07	2210.07042434	1413.49550011
7.481e-07	2150.08074881	1354.34582347
7.482e-07	2148.21271929	1359.69816987
7.483e-07	2145.14555259	1396.5918571
7.484e-07	2135.35214981	1364.59739486
7.485e-07	2144.01240482	1351.34221599
7.486e-07	2213.52098884	1428.4352972
7.487e-07	2224.92419063	1448.80495447
7.488e-07	2227.37842022	1430.19343364
7.489e-07	2166.89548516	1384.6215339
7.49e-07	2217.3529889	1428.49812841
7.491e-07	2217.41397272	1432.63552481
7.492e-07	2183.93104665	1429.79190412
7.493e-07	2271.86161859	1426.362116
7.494e-07	2290.6405433	1405.18874313
7.495e-07	2299.92268523	1400.80487602
7.496e-07	2304.29864667	1454.38442982
7.497e-07	2302.74551259	1485.78777019
7.498e-07	2224.75174573	1498.73652516
7.499e-07	2263.2646779	1467.50597069
7.5e-07	2255.27489075	1450.51027052
7.501e-07	2259.82159833	1435.33999766
7.502e-07	2273.13655008	1505.9992419
7.503e-07	2256.02177426	1455.674566
7.504e-07	2314.00321905	1523.48763889
7.505e-07	2344.37223899	1511.43849163
7.506e-07	2346.50432473	1460.53055257
7.507e-07	2334.83365574	1533.06075992
7.508e-07	2323.41117844	1455.78822332
7.509e-07	2372.27586943	1489.18201614
7.51e-07	2322.98185092	1488.67364654
7.511e-07	2323.75669756	1557.28492579
7.512e-07	2316.67164373	1490.21432115
7.513e-07	2349.13295273	1506.90481627
7.514e-07	2388.08917178	1515.38273276
7.515e-07	2387.56388471	1534.56765114
7.516e-07	2397.65759272	1581.16963087
7.517e-07	2332.76377128	1499.06654925
7.518e-07	2365.77090013	1567.48103169
7.519e-07	2357.7857016	1584.35011356
7.52e-07	2443.61076576	1606.2940927
7.521e-07	2433.01613058	1581.9306809
7.522e-07	2431.72105344	1547.90145773
7.523e-07	2370.46209357	1623.07433509
7.524e-07	2432.32335684	1631.55717941
7.525e-07	2414.5584986	1540.5318453
7.526e-07	2401.90434039	1615.87037069
7.527e-07	2478.40629212	1554.17315262
7.528e-07	2422.66953594	1619.69141111
7.529e-07	2420.11582664	1569.70948996
7.53e-07	2428.30194587	1644.82194147
7.531e-07	2437.57257061	1615.50786767
7.532e-07	2456.82038092	1658.60846457
7.533e-07	2500.83170298	1606.4367399
7.534e-07	2527.07872774	1647.5832011
7.535e-07	2477.10837894	1625.89745638
7.536e-07	2477.1660159	1689.1010528
7.537e-07	2540.99311415	1648.44532955
7.538e-07	2478.21580579	1618.50369745
7.539e-07	2485.10168265	1662.31084511
7.54e-07	2533.18540152	1693.69954438
7.541e-07	2517.20843221	1621.07614
7.542e-07	2566.48448916	1707.47294582
7.543e-07	2574.0046376	1670.45545394
7.544e-07	2592.90361819	1696.75303154
7.545e-07	2589.08170436	1695.14736099
7.546e-07	2535.13893496	1741.75046279
7.547e-07	2530.6668219	1675.30189451
7.548e-07	2594.24586207	1752.11705227
7.549e-07	2613.05145442	1689.07122639
7.55e-07	2578.28215542	1749.34379257
7.551e-07	2552.60258343	1675.17038591
7.552e-07	2570.71868543	1708.62070207
7.553e-07	2575.2834072	1704.07628004
7.554e-07	2586.38382064	1725.92349905
7.555e-07	2567.41571414	1757.52943405
7.556e-07	2577.63861543	1698.11316158
7.557e-07	2576.37070391	1729.57126489
7.558e-07	2649.40737112	1771.47188002
7.559e-07	2671.09490101	1728.53970112
7.56e-07	2675.13927966	1748.55797138
7.561e-07	2595.2348751	1753.57857763
7.562e-07	2699.35638439	1822.32252449
7.563e-07	2641.50854984	1763.10404216
7.564e-07	2627.08772619	1813.33028898
7.565e-07	2637.15404395	1798.1536992
7.566e-07	2707.39890307	1774.76469383
7.567e-07	2676.44764157	1841.49853229
7.568e-07	2733.72481035	1816.96798009
7.569e-07	2695.77971053	1839.06620243
7.57e-07	2736.37252794	1774.08143327
7.571e-07	2741.02109373	1787.63934474
7.572e-07	2757.92013989	1818.26821265
7.573e-07	2704.69269508	1875.01346145
7.574e-07	2766.65953824	1860.94352798
7.575e-07	2770.32752473	1812.20865529
7.576e-07	2687.51527861	1805.25347121
7.577e-07	2784.62581876	1819.87353966
7.578e-07	2750.18740332	1892.92155854
7.579e-07	2702.31278462	1828.97289156
7.58e-07	2705.24620195	1877.71261288
7.581e-07	2740.19069292	1828.38344995
7.582e-07	2782.65196021	1885.28295934
7.583e-07	2808.01457408	1904.30870244
7.584e-07	2767.97683191	1935.50390159
7.585e-07	2827.16000496	1937.30814772
7.586e-07	2801.17683075	1892.65102568
7.587e-07	2811.24217464	1864.77899154
7.588e-07	2814.23473013	1949.20263934
7.589e-07	2815.08729378	1874.26048922
7.59e-07	2830.00998741	1938.22666433
7.591e-07	2847.14737528	1893.41237066
7.592e-07	2853.6419496	1982.75170886
7.593e-07	2841.52939398	1902.4542808
7.594e-07	2818.93543421	1969.92793838
7.595e-07	2829.76001479	1965.57176804
7.596e-07	2842.64101788	1909.84453749
7.597e-07	2881.20710209	2004.58681556
7.598e-07	2873.62299862	1944.41224027
7.599e-07	2818.77172258	1996.117171
7.6e-07	2833.86079092	2007.76748462
7.601e-07	2825.64307352	1984.83827743
7.602e-07	2842.61718315	1991.46983651
7.603e-07	2859.65266164	1993.00860561
7.604e-07	2904.8067118	1988.77654462
7.605e-07	2871.92692748	1961.56386811
7.606e-07	2889.34614415	2029.63579851
7.607e-07	2937.56808425	1966.31647189
7.608e-07	2904.42510347	1986.13360069
7.609e-07	2952.73430881	2003.95282222
7.61e-07	2950.81734059	2017.03672137
7.611e-07	2949.30865552	2045.16773322
7.612e-07	2907.28344394	2072.98771349
7.613e-07	2967.57743781	2000.36896986
7.614e-07	2939.66669506	2007.72039122
7.615e-07	2966.06751168	2059.17138773
7.616e-07	3001.30703026	2070.19428871
7.617e-07	2966.94778972	2035.56706412
7.618e-07	3015.66683096	2096.55346661
7.619e-07	2967.77641781	2037.88707527
7.62e-07	2993.95008954	2078.46871067
7.621e-07	2970.44433521	2128.68596773
7.622e-07	3033.88255942	2118.29783031
7.623e-07	2966.94921311	2130.40334829
7.624e-07	2980.48024046	2087.24735976
7.625e-07	3008.53003075	2119.65756565
7.626e-07	3057.98205852	2122.55135467
7.627e-07	3021.15056696	2079.37451034
7.628e-07	2976.81232797	2105.7036063
7.629e-07	3050.52006045	2130.89357928
7.63e-07	3031.77773124	2100.83346869
7.631e-07	3019.30370412	2146.35158618
7.632e-07	3057.29261294	2122.77633663
7.633e-07	3080.7044251	2137.75385326
7.634e-07	3065.40468896	2121.24895381
7.635e-07	3009.57621525	2140.28085318
7.636e-07	3074.8290797	2176.33932442
7.637e-07	3059.80420102	2168.03148495
7.638e-07	3100.60707175	2159.88885538
7.639e-07	3080.92756697	2187.57260628
7.64e-07	3060.46563632	2227.26682138
7.641e-07	3137.15792913	2236.95929699
7.642e-07	3052.99072766	2179.77113707
7.643e-07	3087.66952209	2188.40297381
7.644e-07	3137.70905761	2171.40241265
7.645e-07	3147.05804201	2224.78898295
7.646e-07	3086.97584304	2208.32064082
7.647e-07	3103.94784746	2246.40970111
7.648e-07	3157.11405548	2240.58815536
7.649e-07	3108.9053345	2238.11559597
7.65e-07	3122.55031713	2284.30774877
7.651e-07	3165.39986281	2230.2313704
7.652e-07	3133.05574825	2241.51740785
7.653e-07	3182.45299854	2234.0302998
7.654e-07	3199.46220551	2220.58964606
7.655e-07	3182.36778623	2311.10231702
7.656e-07	3178.13606946	2219.09511385
7.657e-07	3145.2910855	2234.33666466
7.658e-07	3210.49907949	2325.48030803
7.659e-07	3171.32887184	2257.62395635
7.66e-07	3176.90691835	2282.55703028
7.661e-07	3219.14691404	2247.45499114
7.662e-07	3239.42585312	2255.55656095
7.663e-07	3158.63688261	2350.27712702
7.664e-07	3169.12496149	2328.46279813
7.665e-07	3194.16982013	2301.89560678
7.666e-07	3220.35009087	2269.86622669
7.667e-07	3200.46133234	2371.57981266
7.668e-07	3222.31002832	2361.78369002
7.669e-07	3270.03562057	2307.99441526
7.67e-07	3270.0136967	2323.76573546
7.671e-07	3237.14725041	2296.2394615
7.672e-07	3262.46556517	2344.97404675
7.673e-07	3227.49626695	2313.57057188
7.674e-07	3236.17588623	2393.78260398
7.675e-07	3288.83540251	2336.92776177
7.676e-07	3291.79279366	2390.79256154
7.677e-07	3237.81756338	2366.42518739
7.678e-07	3308.57978365	2424.34614068
7.679e-07	3292.30798561	2419.34532333
7.68e-07	3270.28854675	2420.86998916
7.681e-07	3315.10834716	2381.21363172
7.682e-07	3266.40539286	2358.95321477
7.683e-07	3251.65030077	2449.68575832
7.684e-07	3323.41450625	2430.2210213
7.685e-07	3324.65788751	2444.08201912
7.686e-07	3329.17323864	2443.29058184
7.687e-07	3296.32625578	2474.23955729
7.688e-07	3266.70652201	2429.09375415
7.689e-07	3305.88303642	2390.35650653
7.69e-07	3348.25766354	2457.85391177
