This spectrum was collected on:	2017-09-29	10:40:04
7.132e-07	128.221034275	420.526926847
7.133e-07	188.426948702	510.92270411
7.134e-07	213.960852737	459.3855417
7.135e-07	136.05385064	498.190452395
7.136e-07	182.301087323	493.086754415
7.137e-07	131.229408567	508.894758407
7.138e-07	195.382183672	509.937490567
7.139e-07	163.387104875	514.472298471
7.14e-07	202.6559965	504.759397696
7.141e-07	214.783314078	500.363303166
7.142e-07	192.766024429	487.422080459
7.143e-07	211.055268912	502.04400059
7.144e-07	179.90674811	519.433369122
7.145e-07	188.834659552	451.080496326
7.146e-07	195.859575684	538.71243283
7.147e-07	237.872389853	461.962385822
7.148e-07	142.637752467	513.665489067
7.149e-07	229.999562868	492.040074328
7.15e-07	209.517508657	554.662991435
7.151e-07	190.853438135	547.898523619
7.152e-07	181.971038963	462.491674724
7.153e-07	242.99330028	496.845689601
7.154e-07	188.028533715	481.75683688
7.155e-07	168.502956088	541.311063494
7.156e-07	240.072689228	516.28368344
7.157e-07	177.684064039	475.182007112
7.158e-07	159.185314451	546.209513163
7.159e-07	201.146685722	535.509244554
7.16e-07	186.365622168	505.763121601
7.161e-07	167.316529609	518.965562394
7.162e-07	159.41461107	524.195437751
7.163e-07	218.102380258	529.258267818
7.164e-07	237.495482938	583.941128297
7.165e-07	222.496384806	563.688146149
7.166e-07	168.253231559	591.519051192
7.167e-07	254.582893868	595.628526873
7.168e-07	260.555750791	507.364337282
7.169e-07	228.73404705	502.924556997
7.17e-07	227.424737978	571.052423888
7.171e-07	174.130368184	559.1316701
7.172e-07	189.164824777	573.840018279
7.173e-07	211.004339112	567.687373699
7.174e-07	176.111283043	569.944555524
7.175e-07	178.011587694	538.200361364
7.176e-07	200.417168107	563.494135691
7.177e-07	249.329447783	579.656600505
7.178e-07	212.468288205	528.830794427
7.179e-07	257.967345617	586.604251547
7.18e-07	234.91884408	565.464540652
7.181e-07	260.058985601	632.240369104
7.182e-07	265.983449168	551.055541444
7.183e-07	199.894599393	632.025475344
7.184e-07	228.394844465	620.726370214
7.185e-07	211.006016444	609.494086631
7.186e-07	221.712100957	590.34563793
7.187e-07	221.852292409	593.670997778
7.188e-07	238.959024533	565.115225974
7.189e-07	198.63424756	558.943830979
7.19e-07	187.591935098	643.312848445
7.191e-07	211.25086585	562.548804975
7.192e-07	281.733156305	608.061459862
7.193e-07	211.150889052	606.683800297
7.194e-07	275.39080105	629.387946582
7.195e-07	244.477738834	637.102604444
7.196e-07	276.881429019	617.601759699
7.197e-07	196.737189294	676.33223967
7.198e-07	221.263402905	634.75729874
7.199e-07	291.22470022	640.117893405
7.2e-07	207.645446021	655.024830136
7.201e-07	207.497420597	671.60498611
7.202e-07	269.139161164	690.547867468
7.203e-07	235.157056184	595.683066013
7.204e-07	209.095270262	697.158889681
7.205e-07	228.255533962	626.231734934
7.206e-07	284.592286876	614.35043132
7.207e-07	307.116078122	621.541256484
7.208e-07	244.70339806	664.952042004
7.209e-07	248.741242321	710.059857739
7.21e-07	247.045013656	659.264930469
7.211e-07	251.729490985	688.569181609
7.212e-07	280.389028044	636.693630992
7.213e-07	294.782265617	646.063750182
7.214e-07	304.540112968	699.634584344
7.215e-07	252.119794324	676.702539817
7.216e-07	229.626092781	717.476188184
7.217e-07	234.261421094	646.982514217
7.218e-07	268.02244761	659.912275963
7.219e-07	324.979407397	647.474629907
7.22e-07	276.111675468	663.13992559
7.221e-07	245.372514548	650.176760359
7.222e-07	308.41363305	679.992949727
7.223e-07	329.956149234	720.963104289
7.224e-07	273.597367564	699.306082397
7.225e-07	276.976093754	725.349156307
7.226e-07	280.245314429	681.677803817
7.227e-07	310.808290407	760.023130661
7.228e-07	274.646166942	711.587207872
7.229e-07	267.005065246	730.701764346
7.23e-07	277.929371248	738.923831054
7.231e-07	257.435277206	732.971684926
7.232e-07	248.023040735	778.547971792
7.233e-07	259.028073889	779.200057453
7.234e-07	250.323345611	709.917428746
7.235e-07	310.148446912	727.853125188
7.236e-07	330.363932539	792.418105524
7.237e-07	315.490549432	761.109357966
7.238e-07	337.635887692	729.825291049
7.239e-07	292.184628677	734.656101355
7.24e-07	327.458619051	766.440935582
7.241e-07	272.198948259	767.272456509
7.242e-07	271.713197576	762.828976302
7.243e-07	303.614332373	751.466433833
7.244e-07	306.392615961	725.262107297
7.245e-07	268.153781552	751.157042668
7.246e-07	315.683589089	830.941193371
7.247e-07	315.374829797	781.724028614
7.248e-07	351.135707412	793.331366505
7.249e-07	285.275335183	752.837351043
7.25e-07	335.217892118	762.657144966
7.251e-07	344.112606052	785.88410241
7.252e-07	323.452457802	752.824934716
7.253e-07	286.856565185	757.723961425
7.254e-07	317.865970051	819.055023657
7.255e-07	358.037699713	804.914168659
7.256e-07	290.939185538	840.793973216
7.257e-07	373.566075541	865.560063647
7.258e-07	378.266943822	805.544815741
7.259e-07	298.833981359	816.683851386
7.26e-07	363.274634775	878.459398127
7.261e-07	321.401670216	872.215730894
7.262e-07	348.3150707	835.228616339
7.263e-07	381.289947105	862.682823286
7.264e-07	345.552055264	838.715077337
7.265e-07	370.583108592	847.997285873
7.266e-07	379.873726508	807.348926906
7.267e-07	324.73788546	807.210869354
7.268e-07	334.572855927	891.318070744
7.269e-07	309.436386406	870.202452209
7.27e-07	312.492681283	834.440457768
7.271e-07	315.944319748	853.130544234
7.272e-07	312.250648253	901.396295858
7.273e-07	390.13338381	855.957452375
7.274e-07	324.572628498	875.22573723
7.275e-07	356.104791884	874.115450665
7.276e-07	335.519151368	902.110475151
7.277e-07	375.067195078	842.302726567
7.278e-07	392.580251192	872.301377697
7.279e-07	384.574624051	940.332352062
7.28e-07	378.239501193	906.853238259
7.281e-07	372.601328032	870.241006884
7.282e-07	417.247670902	958.708748571
7.283e-07	339.748974106	917.027239936
7.284e-07	428.855277837	947.727335346
7.285e-07	378.206537106	908.127640873
7.286e-07	354.682492073	957.761384745
7.287e-07	434.667116493	906.965042636
7.288e-07	392.494973087	946.843481069
7.289e-07	419.200198644	945.52530439
7.29e-07	389.952078442	902.263778921
7.291e-07	371.184683076	951.904323591
7.292e-07	438.311183191	899.448249305
7.293e-07	368.459422474	952.521412983
7.294e-07	430.530986968	953.617537927
7.295e-07	381.145013704	964.231976385
7.296e-07	394.789580617	968.730268501
7.297e-07	382.274067083	946.092486478
7.298e-07	440.358935674	928.422270086
7.299e-07	422.845017669	976.359914964
7.3e-07	450.449108277	1008.9521463
7.301e-07	384.160119243	974.668745928
7.302e-07	394.910805313	996.454098435
7.303e-07	412.497431167	1027.67255453
7.304e-07	443.932654849	1035.05646042
7.305e-07	381.446636218	987.399094552
7.306e-07	445.279673434	974.946913573
7.307e-07	411.177388607	1045.51234899
7.308e-07	393.038741001	1053.43111477
7.309e-07	435.831251369	1057.11789482
7.31e-07	450.928444869	1031.8205288
7.311e-07	419.201045646	1074.38890422
7.312e-07	413.501863133	1070.24712885
7.313e-07	418.273300095	1082.62734683
7.314e-07	435.342111242	1083.84264344
7.315e-07	477.859797598	1034.43265639
7.316e-07	498.383909131	1002.81440481
7.317e-07	432.118637207	1007.44998416
7.318e-07	484.998980207	1053.66664322
7.319e-07	484.85535003	1051.3694859
7.32e-07	453.216261851	1097.84232452
7.321e-07	433.752723407	1067.08375023
7.322e-07	493.641141978	1065.65061091
7.323e-07	420.926374882	1109.84264379
7.324e-07	495.982879538	1089.14119942
7.325e-07	497.147273775	1076.44568194
7.326e-07	431.195809146	1076.00445305
7.327e-07	472.835321668	1094.1002091
7.328e-07	456.320089712	1108.45432323
7.329e-07	442.826347227	1134.51838298
7.33e-07	460.332935063	1073.59347196
7.331e-07	501.901877858	1152.73608041
7.332e-07	454.875941329	1111.80429898
7.333e-07	489.346444874	1094.26406905
7.334e-07	467.094976017	1082.19491646
7.335e-07	524.077766859	1114.61837986
7.336e-07	474.357083081	1102.97003804
7.337e-07	545.598517172	1153.32507237
7.338e-07	458.881491948	1130.37468316
7.339e-07	555.481416259	1102.47867621
7.34e-07	558.559646116	1120.40052031
7.341e-07	510.846907498	1157.27421184
7.342e-07	559.781583479	1190.06698492
7.343e-07	487.445375873	1112.93765602
7.344e-07	490.249351416	1156.36053975
7.345e-07	479.875607623	1192.06879786
7.346e-07	539.169830376	1201.44559757
7.347e-07	571.589982446	1193.36394709
7.348e-07	500.181464759	1169.20818425
7.349e-07	564.607611948	1176.90992066
7.35e-07	536.114615419	1180.93496148
7.351e-07	571.175486266	1165.85818812
7.352e-07	549.082499877	1208.66853976
7.353e-07	521.405827279	1176.55147896
7.354e-07	503.437724298	1236.55966218
7.355e-07	513.131448327	1168.53085986
7.356e-07	599.335359832	1244.49453085
7.357e-07	569.057150123	1274.35555406
7.358e-07	534.922087426	1221.91611672
7.359e-07	548.359316002	1258.41851001
7.36e-07	589.379543942	1276.33088924
7.361e-07	568.119396103	1255.89757973
7.362e-07	525.940729749	1277.68692689
7.363e-07	585.565342672	1293.18789552
7.364e-07	602.018674643	1232.23990696
7.365e-07	597.311576549	1225.26834572
7.366e-07	575.354222291	1225.54403233
7.367e-07	556.264383642	1271.53156819
7.368e-07	572.880608879	1316.08080337
7.369e-07	564.031562649	1327.39412792
7.37e-07	592.759862212	1262.84704724
7.371e-07	577.293382253	1284.04135059
7.372e-07	605.539387748	1318.94314286
7.373e-07	582.704206416	1308.09036381
7.374e-07	619.18131194	1262.39573046
7.375e-07	620.982192664	1349.23204535
7.376e-07	572.218712412	1311.91345768
7.377e-07	653.846943883	1367.08182361
7.378e-07	591.04567575	1309.23652826
7.379e-07	612.562264792	1335.1745249
7.38e-07	624.154623846	1291.60187501
7.381e-07	671.352715893	1303.4932464
7.382e-07	628.781002962	1366.08902266
7.383e-07	595.074454305	1361.18573103
7.384e-07	648.0734428	1327.39634002
7.385e-07	646.598612245	1333.18340414
7.386e-07	597.52986548	1399.42272816
7.387e-07	617.372137537	1383.77862616
7.388e-07	656.44461909	1387.64830631
7.389e-07	671.64931528	1371.89443752
7.39e-07	612.423910374	1354.694255
7.391e-07	685.218105549	1411.30501968
7.392e-07	676.462207831	1415.39058869
7.393e-07	671.409618167	1433.06059327
7.394e-07	673.923761961	1362.41208
7.395e-07	643.002730418	1440.50667199
7.396e-07	647.139232372	1434.95463435
7.397e-07	623.896516457	1380.06023206
7.398e-07	685.586708218	1464.3912781
7.399e-07	644.370815834	1387.13891866
7.4e-07	634.832672615	1399.44220859
7.401e-07	702.912620011	1419.25743714
7.402e-07	682.234356379	1420.14886983
7.403e-07	672.277757604	1433.46717053
7.404e-07	723.244692657	1482.8263286
7.405e-07	651.067445222	1458.19889158
7.406e-07	675.625452964	1423.79177722
7.407e-07	733.752842802	1470.55477345
7.408e-07	730.85022132	1494.5760646
7.409e-07	707.862190412	1497.1656954
7.41e-07	697.367895086	1533.80969391
7.411e-07	675.108741955	1491.99508501
7.412e-07	702.15659028	1464.7289441
7.413e-07	684.842210703	1494.76838804
7.414e-07	750.9259078	1551.63992133
7.415e-07	695.248939132	1479.70159891
7.416e-07	687.250630793	1476.35426917
7.417e-07	699.510623174	1548.10591931
7.418e-07	732.715793608	1537.54936988
7.419e-07	728.183210102	1564.71006945
7.42e-07	756.739064492	1509.0553674
7.421e-07	769.151634502	1515.73193011
7.422e-07	800.36606632	1547.89222443
7.423e-07	787.012255597	1543.2493896
7.424e-07	752.269542079	1606.08295293
7.425e-07	768.187221329	1523.40057304
7.426e-07	787.789035535	1583.6885126
7.427e-07	768.627311483	1577.19862682
7.428e-07	826.197039468	1560.8185582
7.429e-07	741.788058209	1586.80733408
7.43e-07	749.433287462	1588.66272491
7.431e-07	837.478574615	1608.00143299
7.432e-07	772.414669234	1636.70614584
7.433e-07	784.147211739	1573.30859861
7.434e-07	804.257395351	1597.79277738
7.435e-07	763.536188116	1580.12342264
7.436e-07	795.952398721	1595.97709766
7.437e-07	831.571646137	1663.37851819
7.438e-07	840.884239254	1606.19151405
7.439e-07	849.450171002	1661.24823784
7.44e-07	789.964241249	1691.4317137
7.441e-07	802.113883972	1655.61422785
7.442e-07	782.932819072	1677.14434154
7.443e-07	839.041888237	1710.00198617
7.444e-07	878.761641964	1705.3964812
7.445e-07	833.164403494	1633.42811333
7.446e-07	876.879459922	1670.02151702
7.447e-07	815.824505184	1659.59000824
7.448e-07	801.50974914	1704.61702688
7.449e-07	832.511547234	1705.08270016
7.45e-07	818.918915508	1696.27522749
7.451e-07	828.231078025	1717.63014393
7.452e-07	856.222150985	1716.87958556
7.453e-07	857.622201947	1749.84113405
7.454e-07	893.695796368	1681.57931396
7.455e-07	878.233103499	1699.28734866
7.456e-07	908.050682778	1729.2459935
7.457e-07	919.241054743	1716.73771851
7.458e-07	891.127636124	1751.42133927
7.459e-07	876.079159381	1714.89817391
7.46e-07	937.291848391	1708.10903007
7.461e-07	894.475693588	1785.53170155
7.462e-07	899.769758353	1777.83350321
7.463e-07	886.613130993	1742.55324424
7.464e-07	917.767153108	1812.91045606
7.465e-07	885.562133148	1798.83825487
7.466e-07	906.680962982	1763.88710467
7.467e-07	916.255359686	1825.18236836
7.468e-07	970.535210969	1800.81752963
7.469e-07	929.535246558	1789.72208932
7.47e-07	958.5060213	1848.77080383
7.471e-07	924.256710649	1784.92121228
7.472e-07	953.965852058	1802.81260547
7.473e-07	919.499306909	1851.40362449
7.474e-07	908.512482291	1878.52236308
7.475e-07	957.034915601	1799.49694701
7.476e-07	966.741693857	1884.91860546
7.477e-07	930.598625924	1897.42007846
7.478e-07	943.44887191	1889.18222738
7.479e-07	963.460570766	1834.72936256
7.48e-07	984.932665387	1914.32640717
7.481e-07	947.287839251	1896.2210453
7.482e-07	951.359685094	1872.3566009
7.483e-07	950.131973315	1864.96433461
7.484e-07	1044.01247262	1937.83786443
7.485e-07	1043.81971835	1934.86426181
7.486e-07	1043.49059479	1915.8937728
7.487e-07	1033.30053423	1875.48688022
7.488e-07	1021.95733355	1901.11711276
7.489e-07	1036.14690802	1959.95475072
7.49e-07	986.663990822	1885.41516364
7.491e-07	977.126526554	1925.57938145
7.492e-07	1067.29284193	1921.53203905
7.493e-07	1061.16246874	1971.03932158
7.494e-07	992.201256425	1908.52507234
7.495e-07	1019.11229778	1959.29094825
7.496e-07	1066.80598415	1996.48425055
7.497e-07	1087.69813305	2007.38890059
7.498e-07	1075.31651218	1950.2522793
7.499e-07	1055.0729551	1931.86585046
7.5e-07	1109.37605394	1998.89428852
7.501e-07	1041.17911364	1979.84319101
7.502e-07	1059.99516776	2027.48259508
7.503e-07	1078.18652063	2004.1709159
7.504e-07	1069.77443442	2001.85012445
7.505e-07	1134.15547816	2010.0857255
7.506e-07	1140.25531733	2001.64531596
7.507e-07	1047.0469508	1995.81395499
7.508e-07	1125.04806237	2021.34854008
7.509e-07	1084.50269145	2084.50697274
7.51e-07	1151.78056451	2022.58770092
7.511e-07	1065.01453133	2029.16019587
7.512e-07	1154.05312678	2082.5173139
7.513e-07	1121.2598521	2026.44578302
7.514e-07	1078.36534312	2044.77982766
7.515e-07	1156.0984906	2113.46570478
7.516e-07	1090.71842423	2115.31843827
7.517e-07	1090.87896615	2043.88997445
7.518e-07	1146.6809622	2094.099339
7.519e-07	1154.6777727	2112.80488427
7.52e-07	1195.50635856	2071.70042875
7.521e-07	1144.98658533	2143.31141118
7.522e-07	1185.46223276	2154.3246749
7.523e-07	1157.57816145	2133.20763163
7.524e-07	1205.59172393	2078.79037474
7.525e-07	1218.83262392	2088.98830258
7.526e-07	1164.24104028	2130.41601429
7.527e-07	1138.98799899	2135.75427514
7.528e-07	1194.38241999	2172.76335058
7.529e-07	1153.95479888	2149.60394399
7.53e-07	1195.20499001	2187.84040714
7.531e-07	1188.64417258	2201.91859507
7.532e-07	1228.01051339	2146.38410816
7.533e-07	1210.11025466	2219.81089082
7.534e-07	1199.45929801	2156.02714897
7.535e-07	1219.18010056	2174.69518216
7.536e-07	1193.734225	2171.75883697
7.537e-07	1203.21271014	2220.65006034
7.538e-07	1225.57065508	2240.73013856
7.539e-07	1244.71640484	2181.13599424
7.54e-07	1220.12939871	2261.09923378
7.541e-07	1295.62210671	2247.71719864
7.542e-07	1277.86879429	2265.94271027
7.543e-07	1280.86674684	2196.51685855
7.544e-07	1231.3397279	2227.40174463
7.545e-07	1236.68623646	2223.97453294
7.546e-07	1285.46389217	2208.44359539
7.547e-07	1307.6452099	2257.05490057
7.548e-07	1327.65909567	2244.2195663
7.549e-07	1299.55217185	2322.17655025
7.55e-07	1340.68140935	2291.83606675
7.551e-07	1320.89958615	2277.83591347
7.552e-07	1265.80058507	2316.14319076
7.553e-07	1298.37605187	2260.34526286
7.554e-07	1333.07501484	2277.60842651
7.555e-07	1347.34733284	2322.94167631
7.556e-07	1285.30976	2314.45191994
7.557e-07	1326.54455761	2305.66049068
7.558e-07	1334.42135438	2307.09090938
7.559e-07	1319.6440786	2372.51284943
7.56e-07	1357.75358488	2370.47706933
7.561e-07	1353.72858052	2337.05101117
7.562e-07	1380.13802759	2380.1781934
7.563e-07	1388.24320463	2327.58855451
7.564e-07	1398.80528455	2351.64125087
7.565e-07	1350.4032953	2401.24215735
7.566e-07	1380.48912268	2353.31142126
7.567e-07	1383.14551914	2414.4883112
7.568e-07	1343.97587679	2365.69297828
7.569e-07	1349.52448415	2385.98833576
7.57e-07	1425.95003054	2434.29222914
7.571e-07	1417.76821151	2452.98585036
7.572e-07	1451.66674957	2413.36497929
7.573e-07	1432.41833202	2425.27125843
7.574e-07	1381.70502919	2430.6487977
7.575e-07	1429.52964195	2441.19700944
7.576e-07	1461.96093812	2417.72938015
7.577e-07	1405.27874579	2404.92396618
7.578e-07	1458.00249342	2437.90519279
7.579e-07	1494.07574426	2412.08478935
7.58e-07	1405.57406914	2476.8554632
7.581e-07	1506.83458016	2420.19287394
7.582e-07	1487.31606349	2432.48393364
7.583e-07	1506.9420017	2507.10195514
7.584e-07	1468.32887781	2455.93272142
7.585e-07	1459.08566405	2480.54685744
7.586e-07	1512.92705512	2486.36576847
7.587e-07	1522.11314347	2528.9124437
7.588e-07	1516.93929002	2539.88388777
7.589e-07	1466.29529139	2513.74063009
7.59e-07	1510.78474389	2547.57852439
7.591e-07	1468.68252795	2554.09736309
7.592e-07	1481.05056771	2483.4480697
7.593e-07	1564.04187492	2547.19041869
7.594e-07	1572.98055714	2552.11885199
7.595e-07	1504.03045599	2507.82459686
7.596e-07	1543.20397301	2540.66402786
7.597e-07	1574.36680024	2606.68474859
7.598e-07	1550.92847355	2586.41866607
7.599e-07	1528.87122891	2540.29538688
7.6e-07	1583.89410043	2579.81295303
7.601e-07	1543.485812	2602.49839636
7.602e-07	1533.34010958	2563.54488536
7.603e-07	1579.66453473	2610.04621397
7.604e-07	1543.19143032	2570.84593353
7.605e-07	1594.72313408	2631.68419838
7.606e-07	1546.94859966	2637.77683458
7.607e-07	1594.67487676	2578.18295218
7.608e-07	1649.9813185	2624.43689008
7.609e-07	1576.57479959	2604.20629164
7.61e-07	1610.1801647	2631.31638135
7.611e-07	1638.13114944	2615.81402997
7.612e-07	1669.01290584	2669.54670155
7.613e-07	1593.17186108	2607.71793778
7.614e-07	1607.27508326	2615.85416411
7.615e-07	1682.48869796	2637.25886175
7.616e-07	1617.94412482	2683.09891235
7.617e-07	1648.91689195	2641.56813444
7.618e-07	1651.95445257	2646.25490473
7.619e-07	1632.53573326	2665.22573907
7.62e-07	1667.2469673	2666.25520685
7.621e-07	1712.23629812	2709.99187296
7.622e-07	1668.8662749	2714.04005637
7.623e-07	1670.08134794	2738.57232418
7.624e-07	1682.58204749	2765.07204461
7.625e-07	1740.96806722	2764.47455771
7.626e-07	1737.0024079	2767.09314488
7.627e-07	1714.03647565	2774.23056554
7.628e-07	1678.08392083	2769.53192127
7.629e-07	1764.31789866	2795.86724086
7.63e-07	1739.87506112	2743.76659682
7.631e-07	1774.96693052	2762.76234715
7.632e-07	1702.05743667	2773.20109799
7.633e-07	1790.80513132	2759.49946861
7.634e-07	1769.6133822	2805.74174187
7.635e-07	1728.29467004	2797.26604161
7.636e-07	1794.84657717	2768.76146995
7.637e-07	1724.8344791	2780.61234027
7.638e-07	1807.96435184	2825.04439085
7.639e-07	1734.74516068	2781.9407588
7.64e-07	1760.25802232	2842.89395104
7.641e-07	1823.28415383	2822.33300454
7.642e-07	1783.95706667	2850.25308778
7.643e-07	1763.16076066	2802.00205284
7.644e-07	1814.35548188	2826.78445278
7.645e-07	1847.27351645	2801.31595971
7.646e-07	1835.01139967	2825.97369791
7.647e-07	1836.39814784	2815.02592669
7.648e-07	1789.34489047	2907.03688193
7.649e-07	1846.47167802	2867.7881615
7.65e-07	1886.92558788	2853.94432289
7.651e-07	1831.14927125	2854.80949611
7.652e-07	1815.80215914	2858.84958167
7.653e-07	1891.31818774	2940.70813855
7.654e-07	1859.74409033	2943.81598262
7.655e-07	1845.74311431	2879.1249539
7.656e-07	1835.40025252	2919.68169888
7.657e-07	1934.68876452	2942.91859551
7.658e-07	1851.30630904	2932.32481499
7.659e-07	1889.43546893	2903.22506229
7.66e-07	1890.07562665	2919.56175446
7.661e-07	1947.81560512	2922.2625931
7.662e-07	1949.42483879	2991.63613654
7.663e-07	1878.15785488	2947.36894329
7.664e-07	1917.36106448	2960.57638769
7.665e-07	1925.03871235	2963.36585473
7.666e-07	1923.54482891	2973.2352652
7.667e-07	1947.15830451	2926.11002869
7.668e-07	1957.50132502	2990.38910774
7.669e-07	1926.18744188	2959.05948707
7.67e-07	1998.65146878	2939.23647083
7.671e-07	1950.38335261	2994.79330968
7.672e-07	1964.35061519	3017.7427019
7.673e-07	1995.308638	3009.12731436
7.674e-07	2024.1683821	3031.0798765
7.675e-07	1988.75142382	2998.12092812
7.676e-07	1950.38800397	3018.11060173
7.677e-07	1956.74354878	2979.86757767
7.678e-07	1965.35095702	3001.83188398
7.679e-07	2040.63975006	2998.84229745
7.68e-07	1976.03914461	3044.25720774
7.681e-07	2003.74595521	3025.29055526
7.682e-07	2014.78931003	3096.30140181
7.683e-07	2007.26690098	3079.10270679
7.684e-07	2020.5903771	3099.32586817
7.685e-07	2032.47845353	3084.33126879
7.686e-07	2019.24567319	3046.27133112
7.687e-07	2096.91474363	3051.96901435
7.688e-07	2040.07237484	3081.5503566
7.689e-07	2090.58982752	3063.07181795
7.69e-07	2099.9380777	3119.72236341
7.691e-07	2076.85213469	3097.70694405
7.692e-07	2119.88177347	3130.91291458
7.693e-07	2061.91100177	3096.49904282
7.694e-07	2125.1927871	3108.32648384
7.695e-07	2130.33635231	3099.49000593
